Category,Description,Level,Material,MRP,Name,Picture URL,Product Family
Commuter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Beginner,Aluminum,2500,Roadster Men Flat Boots,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/1425684/2019/9/20/aeddaee1-75b4-4d07-bddb-5b55f2ebf0ca1568972078169-Roadster-Men-Brown-Solid-High-Top-Flat-Boots-782156897207711-1.jpg",Fuse
Commuter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Beginner,Aluminum,2600,FUSE X2,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/8972453/2019/3/28/2b656a22-4032-4ad6-998a-066a3c92b4171553772383023-Kook-N-Keech-Marvel-Men-Black-Iron-Man-Printed-Round-Neck-T--1.jpg",Fuse
Commuter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Beginner,Aluminum,2700,FUSE X3,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/2216819/2018/2/19/11519011165167-Kook-N-Keech-Marvel-Men-Blue--White-Printed-Round-Neck-T-shirt-4891519011164959-1.jpg",Fuse
Commuter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Beginner,Aluminum,2800,FUSE X4,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/1789920/2017/4/17/11492432254292-Kook-N-Keech-Men-Tshirts-151492432254065-1.jpg",Fuse
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Racer,Carbon,7000,DYNAMO X1,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/9337953/2019/4/24/489f7671-8524-420b-958c-56bcc2c165131556092468181-Woodland-Men-Brown-Solid-Nubuck-Mid-Top-Flat-Boots-851556092-1.jpg",Dynamo
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Racer,Carbon,7200,DYNAMO X2,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/dynamox2.jpg,Dynamo
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Racer,Carbon,7400,DYNAMO X3,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/dynamox3.jpg,Dynamo
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Racer,Carbon,7800,DYNAMO X4,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/dynamox4.jpg,Dynamo
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Enthusiast,Aluminum,4000,ELECTRA X1,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/electrax1.jpg,Electra
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Enthusiast,Aluminum,4300,ELECTRA X2,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/electrax2.jpg,Electra
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Enthusiast,Aluminum,4600,ELECTRA X3,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/electrax3.jpg,Electra
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Enthusiast,Aluminum,4900,ELECTRA X4,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/electrax4.jpg,Electra
